Followers,Following,Bytes of Code,Seconds Since Creation,Stars
18.0,15.0,18.0,104359642.66434789,0.0
0.0,0.0,12184.0,104345546.66434789,0.0
91.0,12.0,117.0,104348909.66434789,0.0
9.0,4.0,5132.0,104338752.66434789,0.0
8.0,11.0,12740.0,104337384.66434789,0.0
164.0,66.0,108.0,104326718.66434789,0.0
1.0,5.0,136.0,104321750.66434789,0.0
0.0,0.0,347440.0,104321474.66434789,0.0
0.0,0.0,5228.0,104325495.66434789,0.0
7.0,7.0,13440.0,104311152.66434789,0.0
38.0,10.0,5717.0,104305826.66434789,0.0
7.0,0.0,91513.0,101530043.66434789,0.0
6.0,17.0,124.0,101552758.66434789,0.0
12.0,23.0,44463.0,101549163.66434789,0.0
0.0,0.0,168.0,101519000.66434789,0.0
1.0,0.0,168.0,101517908.66434789,0.0
2.0,0.0,140.0,101469504.66434789,0.0
3.0,1.0,6547.0,101397497.66434789,0.0
4.0,6.0,1020.0,101390564.66434789,0.0
0.0,0.0,39856.0,101386876.66434789,0.0
1.0,12.0,356.0,101385815.66434789,0.0
0.0,0.0,1724.0,101385785.66434789,0.0
183.0,4.0,12344.0,101393168.66434789,0.0
0.0,0.0,168.0,101388434.66434789,0.0
402.0,78.0,5.0,101383041.66434789,0.0
0.0,0.0,1708.0,101378268.66434789,0.0
0.0,0.0,148.0,101385224.66434789,0.0
0.0,0.0,176.0,102321862.66434789,0.0
0.0,0.0,4.0,102318788.66434789,0.0
1.0,0.0,148.0,102290053.66434789,0.0
0.0,0.0,108.0,102176518.66434789,0.0
65.0,15.0,25.0,102140291.66434789,0.0
18.0,15.0,396.0,102056963.66434789,0.0
0.0,0.0,828.0,102062023.66434789,0.0
6.0,8.0,364.0,102055685.66434789,0.0
7.0,9.0,13504.0,102052791.66434789,0.0
6.0,15.0,21183.0,101946437.66434789,0.0
22.0,4.0,612.0,101946347.66434789,0.0
0.0,0.0,348.0,101944305.66434789,0.0
0.0,0.0,2368.0,101945484.66434789,0.0
0.0,0.0,422.0,101947305.66434789,0.0
7.0,4.0,132.0,101935912.66434789,0.0
0.0,4.0,124.0,101933117.66434789,0.0
3.0,0.0,352.0,101930743.66434789,0.0
75.0,0.0,1032.0,102828573.66434789,0.0
