Followers,Following,Bytes of Code,Seconds Since Creation,Stars
0.0,0.0,124.0,104362416.00509787,0.0
1.0,6.0,740.0,104354245.00509787,0.0
1.0,0.0,488.0,104349017.00509787,0.0
0.0,0.0,152.0,104354830.00509787,0.0
36.0,4.0,120.0,104357439.00509787,0.0
7.0,1.0,116.0,104358814.00509787,0.0
0.0,0.0,212.0,104348554.00509787,0.0
38.0,12.0,284.0,104347102.00509787,0.0
27.0,1.0,6296.0,104336211.00509787,0.0
3.0,0.0,408.0,104333908.00509787,0.0
0.0,0.0,17076.0,104315702.00509787,0.0
0.0,0.0,21328.0,104308852.00509787,0.0
2.0,0.0,324.0,104306726.00509787,0.0
11.0,14.0,1608.0,101536307.00509787,0.0
11.0,9.0,71726.0,101536267.00509787,0.0
33.0,38.0,172.0,101526508.00509787,0.0
1.0,1.0,661.0,101530363.00509787,0.0
250.0,84.0,144.0,101527174.00509787,0.0
18.0,9.0,160.0,101473155.00509787,0.0
0.0,0.0,244.0,101471447.00509787,0.0
0.0,1.0,4536.0,101474449.00509787,0.0
0.0,0.0,7308.0,101475414.00509787,0.0
12.0,7.0,21011.0,101454987.00509787,0.0
2.0,2.0,1328.0,101451353.00509787,0.0
130.0,13.0,10660.0,101456440.00509787,0.0
1.0,0.0,140.0,101431611.00509787,0.0
1.0,0.0,54508.0,101429431.00509787,0.0
0.0,0.0,239.0,101397082.00509787,0.0
0.0,0.0,148.0,101395774.00509787,0.0
0.0,0.0,8156.0,101395652.00509787,0.0
0.0,0.0,5844.0,101392676.00509787,0.0
6.0,9.0,8826.0,101395497.00509787,0.0
34.0,10.0,1092.0,101394967.00509787,0.0
1.0,0.0,6064.0,102305443.00509787,0.0
0.0,0.0,13092.0,102293210.00509787,0.0
0.0,1.0,660.0,102285930.00509787,0.0
22.0,15.0,37872.0,102295272.00509787,0.0
4.0,1.0,116.0,102192762.00509787,0.0
0.0,1.0,172.0,102184635.00509787,0.0
0.0,3.0,116.0,102186083.00509787,0.0
0.0,0.0,533.0,102194056.00509787,0.0
1.0,0.0,15512.0,102143668.00509787,0.0
5.0,1.0,9656.0,102143657.00509787,0.0
10.0,6.0,17480.0,102143652.00509787,0.0
6.0,14.0,3447.0,102143637.00509787,0.0
0.0,0.0,1032.0,102138869.00509787,0.0
1.0,12.0,864.0,102144603.00509787,0.0
0.0,0.0,5816.0,102146582.00509787,0.0
1.0,0.0,13212.0,102068213.00509787,0.0
0.0,0.0,2436.0,102061336.00509787,0.0
0.0,0.0,10151.0,102065233.00509787,0.0
0.0,0.0,13767.0,102055258.00509787,0.0
0.0,0.0,1552.0,101953839.00509787,0.0
4.0,0.0,1836.0,101955081.00509787,0.0
3.0,2.0,160.0,101947663.00509787,0.0
0.0,0.0,2532.0,101938788.00509787,0.0
0.0,2.0,14548.0,101943629.00509787,0.0
0.0,0.0,884.0,101935644.00509787,0.0
0.0,0.0,6628.0,101934613.00509787,0.0
0.0,0.0,1143.0,101934232.00509787,0.0
3.0,11.0,66.0,102870300.00509787,0.0
0.0,2.0,200.0,102883420.00509787,0.0
1.0,2.0,51856.0,102867180.00509787,0.0
104.0,6.0,3913.0,102863893.00509787,0.0
0.0,2.0,408.0,102862101.00509787,0.0
0.0,0.0,196.0,102832509.00509787,0.0
0.0,0.0,1776.0,102837426.00509787,0.0
0.0,0.0,264.0,102837380.00509787,0.0
2.0,0.0,174320.0,102836635.00509787,0.0
2.0,0.0,124.0,102785320.00509787,0.0
5.0,5.0,7500.0,102799111.00509787,0.0
0.0,0.0,128.0,102800700.00509787,0.0
27.0,43.0,11352.0,102794884.00509787,0.0
4.0,5.0,2582.0,102794302.00509787,0.0
7.0,2.0,152.0,102744939.00509787,0.0
12.0,35.0,2947.0,102744316.00509787,0.0
3.0,1.0,120.0,102743177.00509787,0.0
5.0,2.0,204.0,102741727.00509787,0.0
0.0,0.0,156.0,102709161.00509787,0.0
7.0,11.0,10151.0,102705408.00509787,0.0
11.0,20.0,124.0,102704280.00509787,0.0
0.0,0.0,15440.0,102704863.00509787,0.0
12.0,8.0,9233.0,102700046.00509787,0.0
24.0,52.0,1328.0,102702329.00509787,0.0
6.0,14.0,156.0,101891908.00509787,0.0
1.0,3.0,241.0,101891885.00509787,0.0
15.0,31.0,13463.0,101901863.00509787,0.0
1.0,0.0,1785.0,101901580.00509787,0.0
1.0,1.0,248.0,101915238.00509787,0.0
0.0,0.0,19686.0,101909055.00509787,0.0
1.0,1.0,1972.0,101911050.00509787,0.0
5.0,8.0,164.0,101864889.00509787,0.0
0.0,0.0,164.0,101792755.00509787,0.0
0.0,0.0,68.0,101797744.00509787,0.0
0.0,0.0,736.0,101552522.00509787,0.0
3.0,1.0,15.0,101543067.00509787,0.0
14.0,21.0,124.0,101546704.00509787,0.0
0.0,0.0,360.0,101547908.00509787,0.0
13.0,3.0,352.0,101523733.00509787,0.0
2.0,0.0,148.0,101520875.00509787,0.0
3.0,4.0,4904.0,101520385.00509787,0.0
5.0,4.0,7412.0,101495680.00509787,0.0
1.0,0.0,54.0,101495444.00509787,0.0
1.0,4.0,1256.0,101492495.00509787,0.0
0.0,1.0,144.0,101490808.00509787,0.0
9.0,31.0,1422.0,101491820.00509787,0.0
1.0,0.0,132.0,101485755.00509787,0.0
1.0,0.0,676.0,101485730.00509787,0.0
0.0,0.0,140.0,101488247.00509787,0.0
0.0,0.0,6316.0,101489155.00509787,0.0
7.0,6.0,1328.0,101432136.00509787,0.0
10.0,0.0,15744.0,101435668.00509787,0.0
0.0,0.0,891.0,101382491.00509787,0.0
0.0,9.0,2028.0,101378736.00509787,0.0
2.0,2.0,9446.0,101378092.00509787,0.0
0.0,0.0,1680.0,101376647.00509787,0.0
6.0,0.0,132.0,101790426.00509787,0.0
0.0,0.0,144.0,101790298.00509787,0.0
1.0,0.0,1392.0,101792480.00509787,0.0
0.0,0.0,120.0,101774774.00509787,0.0
16.0,21.0,140.0,101775293.00509787,0.0
0.0,0.0,9595.0,101768779.00509787,0.0
1.0,0.0,128.0,101749237.00509787,0.0
24.0,0.0,3576.0,101693801.00509787,0.0
0.0,0.0,2344.0,101694428.00509787,0.0
0.0,0.0,1695.0,101694318.00509787,0.0
4.0,3.0,3488.0,101691235.00509787,0.0
2.0,66.0,1824.0,101636814.00509787,0.0
0.0,0.0,120.0,101636265.00509787,0.0
0.0,2.0,356.0,101646234.00509787,0.0
0.0,0.0,7004.0,101640043.00509787,0.0
0.0,0.0,5156.0,101529847.00509787,0.0
0.0,0.0,1328.0,101529692.00509787,0.0
0.0,0.0,2600.0,101531500.00509787,0.0
1.0,0.0,112.0,101531966.00509787,0.0
12.0,0.0,124.0,101511255.00509787,0.0
17.0,0.0,37347.0,101512304.00509787,0.0
7.0,5.0,110.0,101508863.00509787,0.0
1.0,3.0,1216.0,101485234.00509787,0.0
2.0,0.0,132.0,101449581.00509787,0.0
0.0,0.0,13437.0,101405253.00509787,0.0
0.0,0.0,104.0,101412385.00509787,0.0
103.0,81.0,132.0,101554058.00509787,0.0
0.0,0.0,612.0,101514608.00509787,0.0
7.0,5.0,124.0,101514590.00509787,0.0
29.0,25.0,3076.0,101516504.00509787,0.0
0.0,0.0,23.0,101516341.00509787,0.0
1.0,6.0,652.0,101515669.00509787,0.0
6.0,28.0,108.0,101470403.00509787,0.0
2.0,2.0,23464.0,101466827.00509787,0.0
21.0,9.0,660.0,101465732.00509787,0.0
6.0,16.0,5027.0,101446000.00509787,0.0
4.0,0.0,4684.0,101419288.00509787,0.0
