Followers,Following,Bytes of Code,Seconds Since Creation,Stars
18.0,15.0,18.0,104367056.59016705,0.0
0.0,0.0,12184.0,104352960.59016705,0.0
91.0,12.0,117.0,104356323.59016705,0.0
9.0,4.0,5132.0,104346166.59016705,0.0
8.0,11.0,12740.0,104344798.59016705,0.0
164.0,66.0,108.0,104334132.59016705,0.0
1.0,5.0,136.0,104329164.59016705,0.0
0.0,0.0,347440.0,104328888.59016705,0.0
0.0,0.0,5228.0,104332909.59016705,0.0
7.0,7.0,13440.0,104318566.59016705,0.0
38.0,10.0,5717.0,104313240.59016705,0.0
7.0,0.0,91513.0,101537457.59016705,0.0
6.0,17.0,124.0,101560172.59016705,0.0
12.0,23.0,44463.0,101556577.59016705,0.0
0.0,0.0,168.0,101526414.59016705,0.0
1.0,0.0,168.0,101525322.59016705,0.0
2.0,0.0,140.0,101476918.59016705,0.0
3.0,1.0,6547.0,101404911.59016705,0.0
4.0,6.0,1020.0,101397978.59016705,0.0
0.0,0.0,39856.0,101394290.59016705,0.0
1.0,12.0,356.0,101393229.59016705,0.0
0.0,0.0,1724.0,101393199.59016705,0.0
183.0,4.0,12344.0,101400582.59016705,0.0
0.0,0.0,168.0,101395848.59016705,0.0
402.0,78.0,5.0,101390455.59016705,0.0
0.0,0.0,1708.0,101385682.59016705,0.0
0.0,0.0,148.0,101392638.59016705,0.0
0.0,0.0,176.0,102329276.59016705,0.0
0.0,0.0,4.0,102326202.59016705,0.0
1.0,0.0,148.0,102297467.59016705,0.0
0.0,0.0,108.0,102183932.59016705,0.0
65.0,15.0,25.0,102147705.59016705,0.0
18.0,15.0,396.0,102064377.59016705,0.0
0.0,0.0,828.0,102069437.59016705,0.0
6.0,8.0,364.0,102063099.59016705,0.0
7.0,9.0,13504.0,102060205.59016705,0.0
6.0,15.0,21183.0,101953851.59016705,0.0
22.0,4.0,612.0,101953761.59016705,0.0
0.0,0.0,348.0,101951719.59016705,0.0
0.0,0.0,2368.0,101952898.59016705,0.0
0.0,0.0,422.0,101954719.59016705,0.0
7.0,4.0,132.0,101943326.59016705,0.0
0.0,4.0,124.0,101940531.59016705,0.0
3.0,0.0,352.0,101938157.59016705,0.0
75.0,0.0,1032.0,102835987.59016705,0.0
1.0,5.0,34488.0,102834910.59016705,0.0
0.0,1.0,1928.0,102794175.59016705,0.0
12.0,12.0,242.0,102792178.59016705,0.0
0.0,0.0,61688.0,102761322.59016705,0.0
34.0,3.0,139114.0,102759760.59016705,0.0
0.0,0.0,180.0,102760428.59016705,0.0
0.0,0.0,1.0,102765434.59016705,0.0
0.0,2.0,112.0,102745876.59016705,0.0
10.0,12.0,376.0,102704967.59016705,0.0
1.0,0.0,124.0,102710473.59016705,0.0
4.0,0.0,316.0,102709361.59016705,0.0
0.0,0.0,140.0,102701273.59016705,0.0
0.0,0.0,128.0,102700910.59016705,0.0
3.0,5.0,468.0,101835319.59016705,0.0
76.0,0.0,6116.0,101828772.59016705,0.0
14.0,131.0,32764.0,101825791.59016705,0.0
0.0,0.0,6.0,21624099.590167046,0.0
3.0,2.0,166.0,101889620.59016705,0.0
2.0,4.0,772.0,101878285.59016705,0.0
0.0,0.0,284.0,101907945.59016705,0.0
25.0,8.0,128.0,101906639.59016705,0.0
0.0,0.0,136.0,101868562.59016705,0.0
1.0,1.0,540.0,101861192.59016705,0.0
0.0,0.0,160.0,101795939.59016705,0.0
2.0,13.0,272.0,101545589.59016705,0.0
0.0,4.0,4768.0,101516585.59016705,0.0
3.0,3.0,163.0,101496324.59016705,0.0
13.0,21.0,190.0,101434943.59016705,0.0
17.0,2.0,867116.0,101432673.59016705,0.0
1.0,4.0,124.0,101380886.59016705,0.0
0.0,0.0,108.0,101385284.59016705,0.0
1.0,1.0,188.0,101377769.59016705,0.0
