Followers,Following,Bytes of Code,Seconds Since Creation,Stars
0.0,0.0,6.0,104340079.59016705,0.0
26.0,40.0,1876.0,104332243.59016705,0.0
2.0,2.0,160.0,101455284.59016705,0.0
4.0,0.0,144.0,101393792.59016705,0.0
9.0,25.0,108.0,102326218.59016705,0.0
0.0,0.0,164.0,102142386.59016705,0.0
8.0,0.0,115.0,102063674.59016705,0.0
64.0,754.0,18932.0,22051013.590167046,0.0
1.0,2.0,168.0,102882586.59016705,0.0
21.0,32.0,128.0,102867079.59016705,0.0
227.0,352.0,156.0,102859702.59016705,0.0
5.0,9.0,132.0,102702266.59016705,0.0
6.0,0.0,452.0,101879846.59016705,0.0
0.0,0.0,132.0,101869838.59016705,0.0
133.0,8.0,148.0,101520237.59016705,0.0
17.0,6.0,880.0,101522582.59016705,0.0
3.0,3.0,295.0,101488438.59016705,0.0
3.0,13.0,888.0,101432311.59016705,0.0
2.0,0.0,46.0,101773476.59016705,0.0
2.0,0.0,5.0,101645907.59016705,0.0
11.0,2.0,140.0,101533026.59016705,0.0
214.0,28.0,124.0,101531139.59016705,0.0
6.0,24.0,768.0,101454035.59016705,0.0
6.0,0.0,196.0,101449763.59016705,0.0
0.0,0.0,6.0,101407098.59016705,0.0
677.0,30.0,108.0,101408739.59016705,0.0
1.0,2.0,152.0,101539342.59016705,0.0
0.0,0.0,140.0,101514283.59016705,0.0
11.0,12.0,1.0,101544091.59016705,0.0
12.0,43.0,4.0,96179648.59016705,0.0
34.0,2.0,0.0,96180790.59016705,0.0
26.0,20.0,4.0,96133900.59016705,0.0
25.0,0.0,11.0,96216824.59016705,0.0
78.0,0.0,0.0,96171158.59016705,0.0
0.0,0.0,0.0,96167243.59016705,0.0
1.0,0.0,154.0,96170055.59016705,0.0
15.0,47.0,18.0,96168814.59016705,0.0
1.0,3.0,841.0,96118793.59016705,0.0
4.0,1.0,47.0,96106549.59016705,0.0
2.0,3.0,0.0,96107344.59016705,0.0
0.0,0.0,108.0,97652498.59016705,0.0
