Followers,Following,Bytes of Code,Seconds Since Creation,Stars
2.0,2.0,228.0,104362521.00509787,0.0
0.0,0.0,90.0,104363153.00509787,0.0
0.0,0.0,1224.0,104363578.00509787,0.0
0.0,1.0,3498.0,104364232.00509787,0.0
25.0,60.0,116.0,104365493.00509787,0.0
19.0,0.0,156.0,104364948.00509787,0.0
40.0,19.0,3112.0,104353101.00509787,0.0
2.0,4.0,1476.0,104360774.00509787,0.0
334.0,97.0,120.0,104351263.00509787,0.0
31.0,29.0,196.0,104350541.00509787,0.0
0.0,0.0,97092.0,104355482.00509787,0.0
0.0,0.0,4780.0,104357858.00509787,0.0
33.0,13.0,644.0,104362048.00509787,0.0
0.0,0.0,196.0,104356825.00509787,0.0
0.0,0.0,11216.0,104355144.00509787,0.0
6.0,5.0,284.0,104357798.00509787,0.0
0.0,0.0,356.0,104358689.00509787,0.0
8.0,7.0,164.0,104342133.00509787,0.0
1.0,0.0,660.0,104342110.00509787,0.0
0.0,0.0,136.0,104344358.00509787,0.0
0.0,0.0,555.0,22560393.005097866,0.0
2.0,2.0,156.0,104347018.00509787,0.0
2.0,2.0,1824.0,104346410.00509787,0.0
11.0,17.0,68644.0,104341677.00509787,0.0
59.0,3.0,729.0,104336305.00509787,0.0
0.0,0.0,100.0,104334931.00509787,0.0
1.0,2.0,23996.0,104342635.00509787,0.0
1.0,14.0,399776.0,104342257.00509787,0.0
2.0,0.0,2700.0,104339945.00509787,0.0
0.0,0.0,164.0,104339833.00509787,0.0
12.0,43.0,104.0,104339776.00509787,0.0
66.0,1.0,31.0,104335105.00509787,0.0
0.0,0.0,13024.0,104335778.00509787,0.0
67.0,112.0,116.0,104340467.00509787,0.0
0.0,3.0,161.0,104329260.00509787,0.0
0.0,0.0,124.0,104327475.00509787,0.0
0.0,4.0,260.0,104330629.00509787,0.0
11.0,17.0,124.0,104325474.00509787,0.0
5.0,10.0,128.0,104328019.00509787,0.0
9.0,8.0,104.0,104331054.00509787,0.0
2.0,3.0,236.0,104329875.00509787,0.0
14.0,24.0,8104.0,104321594.00509787,0.0
15.0,17.0,116.0,104320458.00509787,0.0
0.0,0.0,30372.0,104320435.00509787,0.0
3.0,1.0,3612.0,104319467.00509787,0.0
3.0,1.0,920.0,104319226.00509787,0.0
1.0,0.0,13552.0,104323993.00509787,0.0
0.0,0.0,7340.0,104320091.00509787,0.0
26.0,0.0,84.0,104321082.00509787,0.0
176.0,287.0,120.0,104319696.00509787,0.0
1.0,1.0,2032.0,104316791.00509787,0.0
0.0,0.0,144.0,104314892.00509787,0.0
56.0,74.0,220.0,104315844.00509787,0.0
16.0,26.0,38288.0,104315446.00509787,0.0
0.0,0.0,132.0,104317830.00509787,0.0
0.0,0.0,28020.0,104317719.00509787,0.0
180.0,80.0,244.0,104308799.00509787,0.0
7.0,8.0,144.0,104313179.00509787,0.0
0.0,0.0,406.0,104313051.00509787,0.0
0.0,0.0,248.0,104312617.00509787,0.0
10.0,38.0,128.0,104314030.00509787,0.0
18.0,162.0,368.0,104313961.00509787,0.0
0.0,0.0,116.0,104317486.00509787,0.0
0.0,0.0,31104.0,104313644.00509787,0.0
3.0,7.0,3288.0,104319133.00509787,0.0
4.0,3.0,370.0,104306265.00509787,0.0
1.0,15.0,1664.0,101535318.00509787,0.0
6.0,0.0,125255.0,101535422.00509787,0.0
103.0,81.0,188.0,101553256.00509787,0.0
2.0,3.0,988.0,101556239.00509787,0.0
0.0,1.0,4.0,101552238.00509787,0.0
0.0,0.0,352.0,101552071.00509787,0.0
24.0,17.0,1324.0,101550953.00509787,0.0
0.0,0.0,9.0,101562836.00509787,0.0
31.0,31.0,296.0,101525984.00509787,0.0
6.0,9.0,708.0,101525915.00509787,0.0
1.0,3.0,936.0,101525879.00509787,0.0
0.0,0.0,156.0,101527470.00509787,0.0
0.0,0.0,46312.0,101525513.00509787,0.0
0.0,0.0,1651.0,101525466.00509787,0.0
0.0,0.0,22936.0,101469174.00509787,0.0
13.0,12.0,98.0,101475104.00509787,0.0
22.0,6.0,59204.0,101474979.00509787,0.0
12.0,31.0,154.0,101474942.00509787,0.0
0.0,0.0,1812.0,101471320.00509787,0.0
0.0,0.0,13.0,101469235.00509787,0.0
1.0,0.0,4940.0,101451098.00509787,0.0
0.0,1.0,152130.0,101451427.00509787,0.0
0.0,0.0,504.0,101430565.00509787,0.0
1.0,0.0,172.0,101427411.00509787,0.0
2.0,10.0,2012.0,101429075.00509787,0.0
3.0,1.0,140.0,101428884.00509787,0.0
12.0,0.0,124.0,101428864.00509787,0.0
7238.0,39.0,285.0,101430043.00509787,0.0
11.0,7.0,1808.0,101430024.00509787,0.0
0.0,0.0,72.0,101429978.00509787,0.0
1.0,0.0,156.0,101429974.00509787,0.0
1.0,2.0,3746.0,101429957.00509787,0.0
19.0,0.0,20544.0,101429876.00509787,0.0
1.0,0.0,1339.0,101429820.00509787,0.0
1.0,0.0,136.0,101431643.00509787,0.0
18.0,20.0,4.0,101429400.00509787,0.0
0.0,0.0,1546.0,101429384.00509787,0.0
1.0,1.0,436.0,101401972.00509787,0.0
0.0,0.0,22.0,101401779.00509787,0.0
0.0,1.0,16032.0,101400387.00509787,0.0
6.0,3.0,101312.0,101402569.00509787,0.0
15.0,27.0,164.0,101402566.00509787,0.0
0.0,0.0,248.0,101403747.00509787,0.0
8.0,3.0,636.0,101404498.00509787,0.0
0.0,0.0,1108.0,101397731.00509787,0.0
0.0,0.0,140.0,101397467.00509787,0.0
7.0,3.0,136.0,101399938.00509787,0.0
9.0,5.0,21772.0,101406008.00509787,0.0
1.0,0.0,2925.0,101399703.00509787,0.0
18.0,5.0,352.0,101397231.00509787,0.0
4.0,5.0,140.0,101403071.00509787,0.0
6.0,34.0,1264.0,101391462.00509787,0.0
0.0,0.0,936.0,101390701.00509787,0.0
10.0,15.0,520.0,101390563.00509787,0.0
125.0,0.0,144.0,101401522.00509787,0.0
0.0,0.0,33056.0,101398642.00509787,0.0
1.0,6.0,2440.0,101396114.00509787,0.0
15.0,28.0,108.0,101394458.00509787,0.0
6.0,25.0,6168.0,101387452.00509787,0.0
0.0,0.0,140.0,101387446.00509787,0.0
7.0,2.0,510.0,101385733.00509787,0.0
9.0,11.0,648.0,101390222.00509787,0.0
31.0,4.0,108.0,102302057.00509787,0.0
38.0,48.0,4696.0,102305954.00509787,0.0
67.0,30.0,18.0,102309213.00509787,0.0
0.0,0.0,3906.0,102307783.00509787,0.0
3.0,0.0,7032.0,102307653.00509787,0.0
1.0,0.0,468.0,102323540.00509787,0.0
0.0,0.0,85.0,102326095.00509787,0.0
2.0,2.0,128.0,102325607.00509787,0.0
12.0,9.0,19.0,102311819.00509787,0.0
8.0,3.0,6213.0,102311360.00509787,0.0
0.0,0.0,9424.0,102309841.00509787,0.0
24.0,17.0,108.0,102313224.00509787,0.0
