Followers,Following,Bytes of Code,Seconds Since Creation,Stars
8.0,16.0,132.0,104359520.66434789,0.0
5.0,1.0,14932.0,104353145.66434789,0.0
9.0,7.0,112.0,104355808.66434789,0.0
1.0,0.0,109.0,104358323.66434789,0.0
23.0,0.0,486.0,104346872.66434789,0.0
0.0,0.0,276.0,104346587.66434789,0.0
1.0,2.0,204.0,104346452.66434789,0.0
6.0,4.0,1052.0,104346193.66434789,0.0
3.0,2.0,18348.0,104341913.66434789,0.0
4.0,8.0,54854.0,104343636.66434789,0.0
0.0,0.0,108.0,104342359.66434789,0.0
104.0,1.0,316.0,104342926.66434789,0.0
30.0,14.0,148.0,104349984.66434789,0.0
0.0,0.0,1358.0,104350589.66434789,0.0
5.0,12.0,1068.0,104335005.66434789,0.0
19.0,0.0,39835.0,104339391.66434789,0.0
1.0,0.0,1080.0,104336908.66434789,0.0
0.0,0.0,144.0,104336779.66434789,0.0
15.0,196.0,17372.0,104341002.66434789,0.0
3.0,3.0,140.0,104341234.66434789,0.0
0.0,1.0,120.0,104339146.66434789,0.0
0.0,0.0,4168.0,104339022.66434789,0.0
8.0,1.0,256.0,104338968.66434789,0.0
2.0,6.0,800.0,104336382.66434789,0.0
14.0,0.0,340.0,104331583.66434789,0.0
0.0,0.0,569.0,104330279.66434789,0.0
0.0,0.0,1761.0,104330242.66434789,0.0
0.0,1.0,1076.0,104327333.66434789,0.0
0.0,0.0,22496.0,104326996.66434789,0.0
0.0,0.0,172.0,104333341.66434789,0.0
10.0,20.0,6081.0,104328946.66434789,0.0
3.0,3.0,432.0,104330424.66434789,0.0
0.0,0.0,27759.0,104332461.66434789,0.0
23.0,25.0,9238.0,104332370.66434789,0.0
1.0,6.0,240.0,104321824.66434789,0.0
0.0,0.0,168.0,104321742.66434789,0.0
0.0,0.0,104.0,104320487.66434789,0.0
0.0,0.0,2284.0,104320453.66434789,0.0
0.0,0.0,185.0,104323258.66434789,0.0
0.0,3.0,4688.0,104320811.66434789,0.0
0.0,3.0,1116.0,104320808.66434789,0.0
4.0,0.0,172.0,104319907.66434789,0.0
5.0,1.0,176.0,104318044.66434789,0.0
36.0,0.0,128.0,104321332.66434789,0.0
0.0,0.0,168.0,104316205.66434789,0.0
0.0,0.0,160.0,104318741.66434789,0.0
1.0,0.0,144.0,104322801.66434789,0.0
0.0,0.0,584.0,104314403.66434789,0.0
0.0,0.0,172.0,104315868.66434789,0.0
0.0,1.0,188.0,104312341.66434789,0.0
0.0,0.0,188.0,104317615.66434789,0.0
0.0,0.0,112.0,104313104.66434789,0.0
0.0,0.0,748.0,104313699.66434789,0.0
1.0,2.0,4876.0,104316334.66434789,0.0
0.0,0.0,1484.0,104314243.66434789,0.0
1.0,0.0,39348.0,104305387.66434789,0.0
0.0,0.0,42.0,104302481.66434789,0.0
1.0,2.0,412.0,104303271.66434789,0.0
7.0,14.0,172.0,104311757.66434789,0.0
2.0,2.0,15708.0,104304837.66434789,0.0
0.0,1.0,108.0,104311016.66434789,0.0
0.0,0.0,8292.0,104309531.66434789,0.0
0.0,0.0,1680.0,104309446.66434789,0.0
8.0,21.0,120.0,104309195.66434789,0.0
2.0,1.0,7016.0,104309143.66434789,0.0
0.0,0.0,4268.0,104301929.66434789,0.0
5.0,15.0,208.0,104301653.66434789,0.0
4.0,2.0,132.0,104305889.66434789,0.0
1.0,1.0,124.0,104312151.66434789,0.0
3.0,0.0,3309.0,104312045.66434789,0.0
16.0,0.0,116.0,104311970.66434789,0.0
0.0,0.0,62.0,104312212.66434789,0.0
0.0,1.0,272.0,104301390.66434789,0.0
16.0,125.0,236.0,104299690.66434789,0.0
1.0,1.0,124.0,104298071.66434789,0.0
1.0,0.0,176.0,104298064.66434789,0.0
2.0,1.0,988.0,104297980.66434789,0.0
2.0,2.0,124.0,104299923.66434789,0.0
0.0,0.0,140.0,101528178.66434789,0.0
9.0,5.0,5928.0,101530230.66434789,0.0
6.0,0.0,6.0,101528722.66434789,0.0
6.0,0.0,112.0,101528672.66434789,0.0
0.0,0.0,132.0,101528605.66434789,0.0
0.0,0.0,3396.0,101528575.66434789,0.0
0.0,0.0,6456.0,101542125.66434789,0.0
29.0,25.0,160.0,101552526.66434789,0.0
3.0,3.0,176.0,101543764.66434789,0.0
6.0,113.0,160.0,101518902.66434789,0.0
0.0,0.0,26.0,101520608.66434789,0.0
0.0,0.0,504.0,101521926.66434789,0.0
0.0,0.0,184.0,101518302.66434789,0.0
0.0,0.0,180.0,101518300.66434789,0.0
7.0,11.0,564.0,101520231.66434789,0.0
2.0,2.0,14024.0,101466471.66434789,0.0
1.0,0.0,7188.0,101466351.66434789,0.0
0.0,0.0,676.0,101462161.66434789,0.0
39.0,44.0,184.0,101462144.66434789,0.0
2.0,1.0,124.0,101469240.66434789,0.0
4.0,3.0,31142.0,101466773.66434789,0.0
3.0,3.0,204.0,101444137.66434789,0.0
2.0,2.0,355.0,101448130.66434789,0.0
1.0,4.0,140.0,101448006.66434789,0.0
0.0,0.0,2156.0,101444551.66434789,0.0
5.0,14.0,338.0,101447211.66434789,0.0
1.0,0.0,7328.0,101447173.66434789,0.0
0.0,0.0,252.0,101448619.66434789,0.0
0.0,0.0,148.0,101448716.66434789,0.0
0.0,0.0,156.0,101450386.66434789,0.0
1.0,0.0,6.0,101450310.66434789,0.0
11.0,33.0,2808.0,101451117.66434789,0.0
3.0,1.0,408.0,101449878.66434789,0.0
0.0,1.0,1132.0,101420856.66434789,0.0
1.0,1.0,164.0,101422796.66434789,0.0
6.0,7.0,178.0,101393821.66434789,0.0
0.0,4.0,10716.0,101392064.66434789,0.0
