Followers,Following,Bytes of Code,Seconds Since Creation,Stars
3.0,2.0,6556.0,104343224.09858441,0.0
1.0,4.0,360.0,104326506.09858441,0.0
1.0,7.0,184.0,104322095.09858441,0.0
0.0,0.0,116.0,104323248.09858441,0.0
13.0,9.0,87.0,104315411.09858441,0.0
25.0,0.0,15812.0,101532660.09858441,0.0
0.0,0.0,404.0,101529256.09858441,0.0
1.0,1.0,116.0,101459018.09858441,0.0
226.0,17.0,148.0,101405907.09858441,0.0
6.0,4.0,312.0,101402338.09858441,0.0
7.0,4.0,124.0,101400748.09858441,0.0
6.0,4.0,424.0,101402487.09858441,0.0
6.0,4.0,320.0,101402483.09858441,0.0
0.0,0.0,414.0,101399511.09858441,0.0
13.0,3.0,200.0,102300242.09858441,0.0
1.0,5.0,324.0,102192209.09858441,0.0
0.0,0.0,124.0,102073954.09858441,0.0
0.0,0.0,1320.0,102062958.09858441,0.0
1.0,1.0,44288.0,101948494.09858441,0.0
1.0,1.0,132.0,101944798.09858441,0.0
2.0,0.0,156.0,102880687.09858441,0.0
88.0,16.0,132.0,102831536.09858441,0.0
0.0,0.0,136.0,102793157.09858441,0.0
0.0,0.0,152.0,102800108.09858441,0.0
0.0,0.0,128.0,102771005.09858441,0.0
2.0,0.0,144.0,102773503.09858441,0.0
52.0,44.0,4096.0,102763292.09858441,0.0
1.0,1.0,156.0,102747656.09858441,0.0
0.0,0.0,132.0,102747350.09858441,0.0
4.0,0.0,144.0,102717303.09858441,0.0
0.0,0.0,14408.0,101913443.09858441,0.0
2.0,11.0,144.0,101920837.09858441,0.0
15.0,45.0,120.0,101914662.09858441,0.0
1.0,0.0,136.0,101866378.09858441,0.0
307.0,8.0,19.0,101866934.09858441,0.0
7.0,83.0,6227.0,101866639.09858441,0.0
1409.0,7.0,70.0,101798374.09858441,0.0
0.0,0.0,356.0,101550651.09858441,0.0
6.0,2.0,132.0,101555571.09858441,0.0
4.0,1.0,116.0,101551427.09858441,0.0
0.0,0.0,63914.0,101525220.09858441,0.0
9.0,18.0,548.0,101494851.09858441,0.0
1.0,1.0,3956.0,101496360.09858441,0.0
9.0,18.0,2856.0,101495211.09858441,0.0
9.0,18.0,600.0,101495189.09858441,0.0
0.0,14.0,184.0,101497396.09858441,0.0
9.0,18.0,116.0,101495168.09858441,0.0
0.0,0.0,336.0,101497978.09858441,0.0
1.0,2.0,236.0,101497240.09858441,0.0
9.0,18.0,332.0,101494788.09858441,0.0
2.0,4.0,304.0,101439737.09858441,0.0
5.0,0.0,416.0,101438864.09858441,0.0
1.0,0.0,196.0,101440741.09858441,0.0
0.0,0.0,180.0,101435910.09858441,0.0
11.0,41.0,336.0,101442640.09858441,0.0
2.0,0.0,356.0,101439969.09858441,0.0
3.0,3.0,8240.0,101388456.09858441,0.0
0.0,0.0,160.0,101392314.09858441,0.0
1.0,0.0,116.0,101385815.09858441,0.0
0.0,0.0,1520.0,101379254.09858441,0.0
30.0,14.0,296.0,101383061.09858441,0.0
0.0,14.0,176.0,101385328.09858441,0.0
0.0,0.0,25320.0,101791426.09858441,0.0
0.0,0.0,760.0,101782820.09858441,0.0
0.0,0.0,92.0,101759887.09858441,0.0
17.0,21.0,120.0,101759832.09858441,0.0
1.0,3.0,152.0,101753933.09858441,0.0
3.0,1.0,5088.0,101629823.09858441,0.0
7.0,4.0,812.0,101535976.09858441,0.0
7.0,4.0,332.0,101535912.09858441,0.0
7.0,4.0,324.0,101535904.09858441,0.0
7.0,4.0,600.0,101536080.09858441,0.0
7.0,4.0,736.0,101536078.09858441,0.0
0.0,0.0,156.0,101458552.09858441,0.0
0.0,0.0,320.0,101414202.09858441,0.0
3.0,1.0,560.0,101523674.09858441,0.0
3.0,1.0,340.0,101523664.09858441,0.0
3.0,1.0,316.0,101523776.09858441,0.0
0.0,0.0,148.0,101475051.09858441,0.0
20.0,18.0,296.0,101471469.09858441,0.0
6.0,0.0,396.0,101448117.09858441,0.0
6.0,0.0,452.0,101448044.09858441,0.0
6.0,0.0,340.0,101448034.09858441,0.0
6.0,0.0,372.0,101448003.09858441,0.0
6.0,0.0,344.0,101447996.09858441,0.0
6.0,0.0,156.0,101447984.09858441,0.0
16.0,21.0,272.0,101427828.09858441,0.0
0.0,0.0,12836.0,101425687.09858441,0.0
6.0,2.0,1204.0,101426340.09858441,0.0
9.0,1.0,2052.0,101426881.09858441,0.0
0.0,0.0,2288.0,101559849.09858441,0.0
2.0,0.0,1160.0,101540970.09858441,0.0
4.0,2.0,17344.0,101549947.09858441,0.0
104.0,24.0,168.0,101467906.09858441,0.0
11.0,41.0,72940.0,101442614.09858441,0.0
11.0,41.0,8760.0,101442555.09858441,0.0
0.0,0.0,10444.0,101445048.09858441,0.0
14.0,30.0,423.0,101444650.09858441,0.0
25.0,0.0,23008.0,101430131.09858441,0.0
6.0,15.0,0.0,96246228.09858441,0.0
2.0,0.0,264.0,96235260.09858441,0.0
3.0,21.0,0.0,96112936.09858441,0.0
3.0,0.0,0.0,96260926.09858441,0.0
0.0,0.0,8167.0,96262284.09858441,0.0
1.0,0.0,1.0,96123840.09858441,0.0
9.0,9.0,948.0,96102991.09858441,0.0
0.0,0.0,0.0,96111134.09858441,0.0
7.0,7.0,24687.0,96080277.09858441,0.0
0.0,0.0,0.0,97708124.09858441,0.0
0.0,0.0,194.0,97679111.09858441,0.0
0.0,10.0,188.0,97677094.09858441,0.0
47.0,54.0,1061.0,97658964.09858441,0.0
0.0,0.0,216.0,97657426.09858441,0.0
12.0,4.0,152.0,97707730.09858441,0.0
0.0,5.0,20744.0,97698679.09858441,0.0
0.0,1.0,4536.0,97696750.09858441,0.0
15.0,10.0,9453.0,97688545.09858441,0.0
0.0,0.0,4453.0,97663159.09858441,0.0
1.0,0.0,152.0,97671449.09858441,0.0
