Followers,Following,Bytes of Code,Seconds Since Creation,Stars
0.0,0.0,39724.0,104356774.66434789,0.0
13.0,56.0,15292.0,104347518.66434789,0.0
0.0,0.0,2272.0,104344361.66434789,0.0
14.0,14.0,172.0,104342381.66434789,0.0
2.0,2.0,348.0,104342123.66434789,0.0
0.0,0.0,1160.0,104344921.66434789,0.0
5.0,4.0,150.0,104349977.66434789,0.0
0.0,0.0,1772.0,104346044.66434789,0.0
0.0,0.0,179.0,104351731.66434789,0.0
0.0,0.0,1604.0,104335144.66434789,0.0
7.0,4.0,8.0,104339216.66434789,0.0
1.0,1.0,3088.0,104321440.66434789,0.0
0.0,0.0,3760.0,104318666.66434789,0.0
8.0,4.0,31984.0,104325707.66434789,0.0
0.0,1.0,116.0,104325199.66434789,0.0
32.0,16.0,124.0,104312567.66434789,0.0
1.0,0.0,1624.0,104313256.66434789,0.0
7.0,0.0,912.0,104305146.66434789,0.0
0.0,0.0,9904.0,104308282.66434789,0.0
4.0,1.0,136.0,104302526.66434789,0.0
0.0,1.0,168.0,104312098.66434789,0.0
0.0,0.0,136.0,104306865.66434789,0.0
3.0,4.0,13616.0,104299236.66434789,0.0
0.0,0.0,124.0,101546306.66434789,0.0
0.0,1.0,140.0,101546172.66434789,0.0
0.0,0.0,148.0,101549325.66434789,0.0
0.0,0.0,140.0,101522030.66434789,0.0
9.0,2.0,580.0,101518656.66434789,0.0
0.0,0.0,124.0,101466804.66434789,0.0
1.0,1.0,73890.0,101448357.66434789,0.0
2.0,2.0,860.0,101448321.66434789,0.0
3.0,0.0,2308.0,101420582.66434789,0.0
29.0,19.0,85.0,101423580.66434789,0.0
3.0,5.0,274.0,101394520.66434789,0.0
1.0,0.0,1776.0,101394435.66434789,0.0
244.0,52.0,124.0,101392349.66434789,0.0
0.0,0.0,6.0,101393095.66434789,0.0
0.0,0.0,200.0,101384615.66434789,0.0
0.0,0.0,260.0,101386077.66434789,0.0
0.0,0.0,7340.0,101386024.66434789,0.0
20.0,1.0,29.0,101385598.66434789,0.0
0.0,0.0,192.0,101385124.66434789,0.0
0.0,0.0,116.0,101386636.66434789,0.0
0.0,0.0,640.0,101386463.66434789,0.0
0.0,0.0,436.0,101380748.66434789,0.0
0.0,0.0,248.0,101380404.66434789,0.0
0.0,0.0,988.0,101379613.66434789,0.0
0.0,0.0,144.0,101385258.66434789,0.0
0.0,0.0,1932.0,102298840.66434789,0.0
6.0,10.0,20024.0,102276684.66434789,0.0
1.0,0.0,124.0,102292103.66434789,0.0
9.0,39.0,5960.0,102288332.66434789,0.0
0.0,0.0,9716.0,102179571.66434789,0.0
0.0,0.0,30.0,102134651.66434789,0.0
3.0,1.0,116.0,102135460.66434789,0.0
73.0,33.0,8211.0,102135749.66434789,0.0
7.0,9.0,566.0,102137287.66434789,0.0
4.0,4.0,228.0,102061822.66434789,0.0
2.0,3.0,14108.0,102056868.66434789,0.0
79.0,45.0,104.0,102054858.66434789,0.0
7.0,0.0,41966.0,102052539.66434789,0.0
0.0,0.0,702.0,102047895.66434789,0.0
0.0,0.0,172.0,102052843.66434789,0.0
0.0,0.0,224.0,102050511.66434789,0.0
0.0,0.0,204.0,102054631.66434789,0.0
6.0,12.0,624.0,101945932.66434789,0.0
2.0,1.0,5744.0,101945083.66434789,0.0
0.0,0.0,144.0,101943383.66434789,0.0
1.0,0.0,108.0,101935024.66434789,0.0
0.0,0.0,140.0,101932401.66434789,0.0
3.0,0.0,30.0,101937976.66434789,0.0
0.0,0.0,95.0,101929743.66434789,0.0
0.0,0.0,1570.0,101929693.66434789,0.0
7.0,11.0,140.0,101929233.66434789,0.0
11.0,0.0,140.0,101928944.66434789,0.0
11.0,0.0,116.0,101928862.66434789,0.0
8.0,9.0,184.0,101928494.66434789,0.0
0.0,0.0,17796.0,101927517.66434789,0.0
0.0,0.0,214.0,102852159.66434789,0.0
0.0,0.0,1108.0,102819709.66434789,0.0
0.0,0.0,124.0,102821565.66434789,0.0
181.0,30.0,4.0,102754510.66434789,0.0
0.0,0.0,604.0,102751147.66434789,0.0
2.0,0.0,19862.0,102736435.66434789,0.0
0.0,0.0,192.0,102733605.66434789,0.0
0.0,0.0,3272.0,102705052.66434789,0.0
10.0,14.0,12.0,102699793.66434789,0.0
5.0,2.0,160.0,102706716.66434789,0.0
5.0,0.0,18704.0,102695179.66434789,0.0
0.0,0.0,1440.0,101885505.66434789,0.0
4.0,1.0,140.0,101879899.66434789,0.0
23.0,0.0,5074.0,101898074.66434789,0.0
25.0,3.0,5.0,101877774.66434789,0.0
4.0,0.0,204.0,101828081.66434789,0.0
0.0,0.0,62067.0,101820412.66434789,0.0
7.0,11.0,140.0,101904557.66434789,0.0
0.0,2.0,38645.0,101904536.66434789,0.0
2.0,0.0,26504.0,101884229.66434789,0.0
0.0,0.0,136.0,101884205.66434789,0.0
0.0,0.0,124.0,101873692.66434789,0.0
0.0,0.0,519.0,101872316.66434789,0.0
