Followers,Following,Bytes of Code,Seconds Since Creation,Stars
1.0,10.0,120.0,104362764.66434789,0.0
22.0,30.0,104.0,104356522.66434789,0.0
37.0,52.0,216.0,104347030.66434789,0.0
26.0,10.0,100.0,104346489.66434789,0.0
0.0,0.0,132.0,104343352.66434789,0.0
13.0,13.0,120.0,104349670.66434789,0.0
25.0,15.0,160.0,104340587.66434789,0.0
17.0,11.0,1008.0,104329441.66434789,0.0
1.0,2.0,105.0,104329848.66434789,0.0
9.0,2.0,572.0,104334387.66434789,0.0
0.0,0.0,204.0,104330573.66434789,0.0
7.0,4.0,120.0,104319436.66434789,0.0
3.0,1.0,132.0,104321363.66434789,0.0
2.0,0.0,135.0,104305541.66434789,0.0
22.0,4.0,120.0,104305290.66434789,0.0
1.0,0.0,164.0,104310225.66434789,0.0
1.0,0.0,15372.0,104310208.66434789,0.0
5.0,12.0,15340.0,104310928.66434789,0.0
0.0,0.0,100.0,104307395.66434789,0.0
0.0,0.0,132.0,104304196.66434789,0.0
0.0,0.0,124.0,104301788.66434789,0.0
0.0,0.0,132.0,104300644.66434789,0.0
5.0,1.0,100.0,104299849.66434789,0.0
15.0,9.0,10.0,101526902.66434789,0.0
0.0,0.0,128.0,101526887.66434789,0.0
0.0,0.0,6.0,101530124.66434789,0.0
4.0,2.0,276.0,101552606.66434789,0.0
2.0,7.0,152.0,101543853.66434789,0.0
0.0,1.0,148.0,101518891.66434789,0.0
0.0,0.0,9.0,101517835.66434789,0.0
0.0,1.0,360.0,101466858.66434789,0.0
18.0,12.0,356.0,101449670.66434789,0.0
6.0,5.0,140.0,101450665.66434789,0.0
3.0,3.0,128.0,101420810.66434789,0.0
64.0,4.0,516.0,101422038.66434789,0.0
0.0,0.0,128.0,101421103.66434789,0.0
1.0,3.0,128.0,101388527.66434789,0.0
12.0,0.0,376.0,101384778.66434789,0.0
18.0,4.0,136.0,101381911.66434789,0.0
4.0,1.0,1344.0,102296631.66434789,0.0
0.0,0.0,120.0,102316889.66434789,0.0
3.0,5.0,71.0,102291367.66434789,0.0
4.0,0.0,2810.0,102179621.66434789,0.0
1.0,0.0,148.0,102187076.66434789,0.0
3.0,5.0,148.0,102174432.66434789,0.0
0.0,0.0,716.0,102139080.66434789,0.0
0.0,0.0,2208.0,102054999.66434789,0.0
189.0,490.0,5264.0,102048346.66434789,0.0
0.0,0.0,2.0,101942385.66434789,0.0
25.0,36.0,252.0,101940705.66434789,0.0
11.0,17.0,224.0,101931604.66434789,0.0
0.0,1.0,132.0,101935893.66434789,0.0
0.0,0.0,224.0,101936822.66434789,0.0
0.0,0.0,16.0,101936718.66434789,0.0
10.0,53.0,43.0,101942302.66434789,0.0
9.0,17.0,208.0,101933867.66434789,0.0
5.0,38.0,124.0,101932804.66434789,0.0
0.0,0.0,2648.0,101927371.66434789,0.0
11.0,2.0,123.0,101927307.66434789,0.0
25.0,26.0,128.0,102870667.66434789,0.0
14.0,3.0,341.0,102868890.66434789,0.0
18.0,37.0,220.0,102825202.66434789,0.0
28.0,33.0,131040.0,102827467.66434789,0.0
5.0,0.0,34796.0,102792574.66434789,0.0
5.0,3.0,248.0,102784098.66434789,0.0
1.0,0.0,172.0,102783964.66434789,0.0
45.0,23.0,144.0,102784577.66434789,0.0
7.0,8.0,928.0,102792991.66434789,0.0
1.0,0.0,140.0,102789294.66434789,0.0
1.0,0.0,244.0,102758060.66434789,0.0
0.0,0.0,120.0,102737888.66434789,0.0
2.0,2.0,140.0,102700916.66434789,0.0
0.0,2.0,128.0,102705741.66434789,0.0
17.0,13.0,256.0,102697321.66434789,0.0
3.0,8.0,196.0,101884536.66434789,0.0
24.0,0.0,140.0,101894822.66434789,0.0
4.0,7.0,540.0,101876066.66434789,0.0
0.0,0.0,132.0,101818659.66434789,0.0
5.0,3.0,9052.0,101868843.66434789,0.0
0.0,0.0,6.0,101874707.66434789,0.0
0.0,0.0,144.0,101873325.66434789,0.0
6.0,3.0,152.0,101855255.66434789,0.0
31.0,45.0,128.0,101854563.66434789,0.0
3.0,0.0,124.0,101854128.66434789,0.0
0.0,0.0,20.0,101858058.66434789,0.0
0.0,0.0,14490.0,101788977.66434789,0.0
0.0,0.0,140.0,101788793.66434789,0.0
10.0,0.0,160.0,101787973.66434789,0.0
2.0,2.0,124.0,101784365.66434789,0.0
1.0,3.0,172.0,101540621.66434789,0.0
4.0,1.0,132.0,101544387.66434789,0.0
13.0,3.0,116.0,101516897.66434789,0.0
0.0,0.0,32729.0,101514960.66434789,0.0
5.0,31.0,7292.0,101513732.66434789,0.0
13.0,3.0,1080.0,101516713.66434789,0.0
13.0,3.0,160.0,101516705.66434789,0.0
13.0,3.0,108.0,101516649.66434789,0.0
13.0,3.0,116.0,101516630.66434789,0.0
13.0,3.0,116.0,101516614.66434789,0.0
0.0,0.0,232.0,101482936.66434789,0.0
110.0,38.0,156.0,101485008.66434789,0.0
0.0,0.0,256.0,101483075.66434789,0.0
7.0,4.0,136.0,101479516.66434789,0.0
14.0,21.0,148.0,101426234.66434789,0.0
1.0,0.0,112.0,101429386.66434789,0.0
3.0,1.0,148.0,101424072.66434789,0.0
8.0,11.0,144.0,101430626.66434789,0.0
0.0,0.0,144.0,101377740.66434789,0.0
7.0,12.0,124.0,101373765.66434789,0.0
69.0,246.0,2952.0,101371589.66434789,0.0
11.0,13.0,124.0,101368072.66434789,0.0
7.0,5.0,145.0,101372759.66434789,0.0
1.0,2.0,120.0,101779713.66434789,0.0
0.0,1.0,140.0,101783710.66434789,0.0
65.0,7.0,144.0,101783791.66434789,0.0
