Followers,Following,Bytes of Code,Seconds Since Creation,Stars
13.0,15.0,26.0,104367826.09858441,0.0
17.0,12.0,480.0,102070185.09858441,0.0
2.0,0.0,148.0,102071639.09858441,0.0
5.0,2.0,140.0,102715855.09858441,0.0
2.0,7.0,132.0,101642557.09858441,0.0
12.0,8.0,1132.0,101415678.09858441,0.0
0.0,0.0,28.0,22126123.098584414,0.0
2.0,0.0,192.0,101450535.09858441,0.0
16.0,2.0,136.0,101447097.09858441,0.0
3.0,3.0,1030.0,96223710.09858441,0.0
30.0,41.0,19.0,96177303.09858441,0.0
0.0,0.0,108.0,97684867.09858441,0.0
3.0,0.0,144.0,98473104.09858441,0.0
6.0,0.0,175.0,98646011.09858441,0.0
14.0,0.0,112.0,98635653.09858441,0.0
16.0,2.0,128.0,98624660.09858441,0.0
60.0,115.0,192.0,98539580.09858441,0.0
11.0,12.0,140.0,98423134.09858441,0.0
4.0,0.0,10.0,96065903.09858441,0.0
3.0,6.0,3.0,96062617.09858441,0.0
3.0,7.0,1038.0,96053521.09858441,0.0
0.0,0.0,144.0,97755494.09858441,0.0
0.0,1.0,16441.0,96019408.09858441,0.0
0.0,0.0,47.0,96016226.09858441,0.0
3.0,0.0,26.0,96017296.09858441,0.0
15.0,16.0,62.0,95977600.09858441,0.0
1.0,0.0,132.0,99354928.09858441,0.0
1.0,1.0,436.0,100769831.09858441,0.0
2.0,0.0,156.0,100676428.09858441,0.0
14.0,2.0,132.0,100654434.09858441,0.0
5.0,0.0,124.0,99014076.09858441,0.0
2.0,0.0,144.0,100442996.09858441,0.0
7.0,8.0,212.0,100415072.09858441,0.0
1.0,0.0,8.0,99092435.09858441,0.0
2.0,2.0,200.0,99041614.09858441,0.0
12.0,5.0,108.0,99149329.09858441,0.0
2.0,0.0,11255.0,99203742.09858441,0.0
6.0,14.0,1045.0,99162926.09858441,0.0
0.0,0.0,116.0,99115225.09858441,0.0
5.0,2.0,140.0,99057385.09858441,0.0
0.0,0.0,152.0,97346523.09858441,0.0
40.0,46.0,23.0,97302058.09858441,0.0
0.0,0.0,122535.0,97298826.09858441,0.0
54.0,81.0,57.0,97574536.09858441,0.0
1.0,0.0,123.0,97578280.09858441,0.0
86.0,104.0,71.0,97561750.09858441,0.0
40.0,46.0,152.0,97308049.09858441,0.0
1.0,0.0,108.0,97280501.09858441,0.0
5.0,0.0,128.0,97532408.09858441,0.0
7.0,2.0,5.0,97366144.09858441,0.0
13.0,3.0,144.0,97293929.09858441,0.0
16.0,37.0,58781.0,97523195.09858441,0.0
3.0,0.0,144.0,97516762.09858441,0.0
1.0,0.0,563.0,97394997.09858441,0.0
11.0,6.0,108.0,97390960.09858441,0.0
0.0,1.0,112.0,100494765.09858441,0.0
9.0,6.0,164.0,100455727.09858441,0.0
9.0,0.0,116.0,100491694.09858441,0.0
20.0,9.0,148.0,100398827.09858441,0.0
0.0,0.0,180.0,100199465.09858441,0.0
6.0,6.0,316.0,100460076.09858441,0.0
2.0,7.0,180.0,100424207.09858441,0.0
3.0,0.0,259.0,100371891.09858441,0.0
0.0,0.0,136.0,100337209.09858441,0.0
1.0,0.0,108.0,100276506.09858441,0.0
148.0,0.0,4.0,100151270.09858441,0.0
0.0,0.0,144.0,100186636.09858441,0.0
51.0,15.0,19.0,100185337.09858441,0.0
6.0,2.0,526.0,100003034.09858441,0.0
8.0,15.0,168.0,99994991.09858441,0.0
3.0,6.0,182.0,100145602.09858441,0.0
19.0,5.0,6950.0,100118217.09858441,0.0
0.0,0.0,448.0,100118147.09858441,0.0
0.0,0.0,124.0,97108461.09858441,0.0
2.0,0.0,0.0,97018647.09858441,0.0
23.0,27.0,0.0,96992719.09858441,0.0
0.0,0.0,6.0,97153765.09858441,0.0
1.0,0.0,0.0,96971882.09858441,0.0
14.0,16.0,0.0,96630572.09858441,0.0
5.0,3.0,0.0,96566666.09858441,0.0
8.0,34.0,209.0,96529412.09858441,0.0
9.0,6.0,26.0,96526108.09858441,0.0
1.0,0.0,12.0,96506404.09858441,0.0
13.0,24.0,9691.0,96493494.09858441,0.0
1.0,0.0,1051.0,97214469.09858441,0.0
0.0,0.0,156.0,97151200.09858441,0.0
27.0,105.0,0.0,97009288.09858441,0.0
30.0,17.0,39.0,96911731.09858441,0.0
11.0,0.0,0.0,96859451.09858441,0.0
0.0,0.0,85.0,96699694.09858441,0.0
1.0,0.0,0.0,96704536.09858441,0.0
11.0,0.0,0.0,96760987.09858441,0.0
0.0,0.0,0.0,96753943.09858441,0.0
0.0,0.0,0.0,96755570.09858441,0.0
25.0,51.0,4.0,96409602.09858441,0.0
1.0,0.0,0.0,96351754.09858441,0.0
0.0,0.0,0.0,96440709.09858441,0.0
0.0,0.0,0.0,96365308.09858441,0.0
18.0,1.0,0.0,96327905.09858441,0.0
4.0,1.0,167.0,96284283.09858441,0.0
2.0,0.0,0.0,96293424.09858441,0.0
20.0,46.0,0.0,96345744.09858441,0.0
1.0,0.0,0.0,96353976.09858441,0.0
0.0,0.0,0.0,96456846.09858441,0.0
0.0,0.0,648.0,97173319.09858441,0.0
29.0,5.0,1041.0,97047949.09858441,0.0
3.0,0.0,0.0,96938224.09858441,0.0
10.0,16.0,300.0,96939360.09858441,0.0
8.0,8.0,132.0,97065067.09858441,0.0
5.0,4.0,476.0,97063317.09858441,0.0
2.0,0.0,28.0,95811936.09858441,0.0
0.0,2.0,1375.0,95962058.09858441,0.0
2.0,1.0,50.0,95940857.09858441,0.0
7.0,22.0,136.0,121544601.09858441,0.0
0.0,0.0,196.0,121384131.09858441,0.0
12.0,9.0,104.0,121322325.09858441,0.0
2.0,0.0,1168.0,121307904.09858441,0.0
63.0,77.0,120.0,121310196.09858441,0.0
15.0,13.0,156.0,121763309.09858441,0.0
2.0,3.0,152.0,121733063.09858441,0.0
1.0,0.0,1204.0,121728917.09858441,0.0
18.0,129.0,236.0,121551923.09858441,0.0
3.0,0.0,452.0,121464725.09858441,0.0
51.0,35.0,120.0,121505238.09858441,0.0
2.0,1.0,124.0,121496559.09858441,0.0
2.0,2.0,176.0,121454430.09858441,0.0
0.0,0.0,104.0,121435126.09858441,0.0
2.0,13.0,312.0,121245836.09858441,0.0
30.0,27.0,216.0,121287569.09858441,0.0
21.0,19.0,91542.0,121428412.09858441,0.0
33.0,11.0,288.0,121684844.09858441,0.0
0.0,0.0,100.0,126887570.09858441,0.0
1.0,1.0,3776.0,126683788.09858441,0.0
0.0,0.0,1184.0,126685900.09858441,0.0
4.0,5.0,144.0,127290172.09858441,0.0
3.0,25.0,1148.0,126796188.09858441,0.0
114.0,41.0,220.0,127027485.09858441,0.0
0.0,0.0,148.0,126925991.09858441,0.0
2.0,1.0,196.0,126707382.09858441,0.0
114.0,66.0,116.0,127229791.09858441,0.0
0.0,0.0,215.0,126834931.09858441,0.0
0.0,0.0,220.0,126841882.09858441,0.0
0.0,0.0,156.0,126841880.09858441,0.0
4.0,2.0,3836.0,127119624.09858441,0.0
4.0,6.0,2088.0,126733870.09858441,0.0
14.0,17.0,436.0,127093376.09858441,0.0
