Followers,Following,Bytes of Code,Seconds Since Creation,Stars
0.0,0.0,100.0,104360264.59016705,0.0
1.0,0.0,200.0,104363767.59016705,0.0
11.0,1.0,140.0,104363934.59016705,0.0
1.0,3.0,1.0,104364852.59016705,0.0
0.0,0.0,100.0,104355091.59016705,0.0
45.0,25.0,188.0,104356299.59016705,0.0
0.0,0.0,100.0,104346045.59016705,0.0
0.0,0.0,100.0,104343788.59016705,0.0
0.0,0.0,100.0,104347177.59016705,0.0
1.0,1.0,140.0,104337483.59016705,0.0
0.0,0.0,100.0,104342981.59016705,0.0
0.0,0.0,100.0,104338245.59016705,0.0
0.0,0.0,25562.0,104334707.59016705,0.0
0.0,0.0,100.0,104340963.59016705,0.0
0.0,0.0,100.0,104328416.59016705,0.0
19.0,9.0,10072.0,104331551.59016705,0.0
0.0,0.0,100.0,104332766.59016705,0.0
0.0,0.0,164.0,104319705.59016705,0.0
0.0,1.0,136.0,104323725.59016705,0.0
0.0,0.0,100.0,104312977.59016705,0.0
0.0,0.0,104.0,104318186.59016705,0.0
4.0,6.0,132.0,104313183.59016705,0.0
0.0,0.0,100.0,104319638.59016705,0.0
0.0,0.0,100.0,104307406.59016705,0.0
1.0,1.0,136.0,101534349.59016705,0.0
3.0,0.0,412.0,101552445.59016705,0.0
8.0,1.0,136.0,101556477.59016705,0.0
29.0,46.0,256.0,101527086.59016705,0.0
28.0,7.0,628.0,101470167.59016705,0.0
0.0,0.0,192.0,101472014.59016705,0.0
18.0,25.0,140.0,101455392.59016705,0.0
34.0,46.0,116.0,101397463.59016705,0.0
4.0,6.0,156.0,101388828.59016705,0.0
7.0,3.0,1.0,102186446.59016705,0.0
6.0,2.0,140.0,102063072.59016705,0.0
3.0,6.0,132.0,102069462.59016705,0.0
98.0,90.0,124.0,102063369.59016705,0.0
0.0,0.0,1592.0,102058911.59016705,0.0
4.0,5.0,124.0,101945793.59016705,0.0
56.0,0.0,9.0,101935851.59016705,0.0
31.0,8.0,124.0,102838083.59016705,0.0
0.0,0.0,3128.0,102788244.59016705,0.0
1.0,5.0,396.0,102788554.59016705,0.0
8.0,5.0,140.0,102790915.59016705,0.0
23.0,2.0,4.0,102761147.59016705,0.0
5.0,0.0,132.0,102714532.59016705,0.0
0.0,0.0,2116.0,101880472.59016705,0.0
3.0,0.0,136.0,101917655.59016705,0.0
1.0,1.0,152.0,101859842.59016705,0.0
65.0,7.0,111.0,101797430.59016705,0.0
15.0,7.0,108.0,101548212.59016705,0.0
48.0,387.0,108.0,101437471.59016705,0.0
0.0,0.0,148.0,101432871.59016705,0.0
7.0,3.0,11.0,101431882.59016705,0.0
4.0,7.0,9.0,101375687.59016705,0.0
0.0,0.0,15.0,101377161.59016705,0.0
3.0,15.0,180.0,101777822.59016705,0.0
0.0,1.0,7.0,101776211.59016705,0.0
6.0,0.0,17.0,101773812.59016705,0.0
0.0,7.0,136.0,101749545.59016705,0.0
0.0,0.0,324.0,101749364.59016705,0.0
42.0,8.0,152.0,101762556.59016705,0.0
4.0,1.0,168.0,101690253.59016705,0.0
1.0,0.0,160.0,101690040.59016705,0.0
23.0,5.0,140.0,101648100.59016705,0.0
0.0,0.0,5.0,101511303.59016705,0.0
5.0,1.0,132.0,101510097.59016705,0.0
3.0,6.0,108.0,101479568.59016705,0.0
0.0,0.0,108.0,101541468.59016705,0.0
21.0,29.0,156.0,101445692.59016705,0.0
10.0,6.0,128.0,101443489.59016705,0.0
3.0,3.0,2.0,101445894.59016705,0.0
1.0,6.0,136.0,101508061.59016705,0.0
1.0,1.0,136.0,101461181.59016705,0.0
1.0,0.0,136.0,101441074.59016705,0.0
8.0,0.0,35170.0,101440844.59016705,0.0
0.0,0.0,16.0,96239568.59016705,0.0
0.0,0.0,0.0,96235188.59016705,0.0
1.0,0.0,43.0,96234868.59016705,0.0
0.0,0.0,30.0,96234256.59016705,0.0
2.0,6.0,204.0,96233259.59016705,0.0
0.0,0.0,0.0,96227441.59016705,0.0
5.0,1.0,6.0,96225591.59016705,0.0
2.0,0.0,0.0,96217086.59016705,0.0
0.0,0.0,0.0,96132765.59016705,0.0
7.0,9.0,13.0,96109651.59016705,0.0
7.0,21.0,0.0,96091442.59016705,0.0
1.0,1.0,4.0,96166153.59016705,0.0
0.0,0.0,3.0,96123517.59016705,0.0
0.0,0.0,6.0,96073221.59016705,0.0
0.0,0.0,4.0,97711605.59016705,0.0
0.0,0.0,108.0,97688901.59016705,0.0
17.0,26.0,9.0,97686551.59016705,0.0
56.0,1.0,2.0,97671172.59016705,0.0
0.0,0.0,160.0,97656593.59016705,0.0
59.0,476.0,112.0,97657790.59016705,0.0
0.0,0.0,54.0,97653341.59016705,0.0
0.0,1.0,8.0,97708494.59016705,0.0
11.0,126.0,116.0,97706822.59016705,0.0
9.0,0.0,124.0,97682126.59016705,0.0
0.0,0.0,380.0,97681355.59016705,0.0
52.0,0.0,128.0,97686026.59016705,0.0
0.0,0.0,160.0,97666154.59016705,0.0
1.0,4.0,124.0,97666760.59016705,0.0
0.0,0.0,108.0,97661813.59016705,0.0
0.0,0.0,22.0,97647358.59016705,0.0
19.0,19.0,144.0,97649181.59016705,0.0
0.0,0.0,128.0,98638696.59016705,0.0
19.0,131.0,3.0,98470200.59016705,0.0
18.0,0.0,144.0,98616651.59016705,0.0
13.0,3.0,140.0,98454543.59016705,0.0
2.0,11.0,0.0,98449331.59016705,0.0
5.0,0.0,144.0,98456741.59016705,0.0
5.0,1.0,124.0,98453521.59016705,0.0
0.0,0.0,764.0,98418621.59016705,0.0
2.0,0.0,124.0,98419966.59016705,0.0
1.0,4.0,3.0,98381377.59016705,0.0
5.0,34.0,124.0,98388590.59016705,0.0
2.0,1.0,73125.0,98387409.59016705,0.0
1.0,2.0,176.0,98379093.59016705,0.0
2.0,0.0,15.0,96062240.59016705,0.0
1.0,5.0,4.0,96070634.59016705,0.0
59.0,28.0,2.0,96051649.59016705,0.0
41.0,86.0,132.0,96045611.59016705,0.0
1.0,0.0,4.0,96036890.59016705,0.0
1.0,0.0,7.0,97925896.59016705,0.0
0.0,0.0,27012.0,97864127.59016705,0.0
0.0,0.0,13.0,97832593.59016705,0.0
0.0,0.0,11.0,97827207.59016705,0.0
1.0,0.0,108.0,97795103.59016705,0.0
1.0,0.0,132.0,97793067.59016705,0.0
7.0,2.0,108.0,97760681.59016705,0.0
0.0,0.0,140.0,97751157.59016705,0.0
5.0,17.0,9.0,96019219.59016705,0.0
2.0,2.0,7.0,96022774.59016705,0.0
4.0,5.0,1.0,95994226.59016705,0.0
83.0,113.0,22.0,95971018.59016705,0.0
7.0,18.0,10.0,95968106.59016705,0.0
0.0,5.0,35035.0,95966343.59016705,0.0
13.0,3.0,564.0,100744628.59016705,0.0
0.0,0.0,7.0,100746732.59016705,0.0
36.0,5.0,112.0,100705161.59016705,0.0
7.0,17.0,17.0,100532026.59016705,0.0
4.0,3.0,172.0,100507092.59016705,0.0
1.0,6.0,124.0,100511833.59016705,0.0
0.0,0.0,148.0,100518688.59016705,0.0
16.0,4.0,148.0,99359268.59016705,0.0
0.0,0.0,152.0,99356287.59016705,0.0
16.0,25.0,1.0,99353915.59016705,0.0
56.0,8.0,9.0,99361535.59016705,0.0
1.0,1.0,2233.0,99348338.59016705,0.0
14.0,10.0,152.0,99352007.59016705,0.0
2.0,2.0,120.0,100722851.59016705,0.0
2.0,16.0,7.0,100673915.59016705,0.0
1.0,0.0,124.0,100590300.59016705,0.0
0.0,0.0,27420.0,100590154.59016705,0.0
1.0,2.0,1.0,99235906.59016705,0.0
0.0,0.0,12.0,99202750.59016705,0.0
39.0,2.0,108.0,99185213.59016705,0.0
42.0,8.0,124.0,99181826.59016705,0.0
0.0,0.0,120.0,99173004.59016705,0.0
31.0,42.0,6192.0,99096195.59016705,0.0
0.0,0.0,144.0,99032578.59016705,0.0
4.0,2.0,140.0,99158709.59016705,0.0
2.0,0.0,10.0,99122989.59016705,0.0
7.0,4.0,104.0,99129176.59016705,0.0
9.0,7.0,5.0,99071057.59016705,0.0
0.0,0.0,104.0,99075557.59016705,0.0
1.0,2.0,108.0,99075522.59016705,0.0
0.0,0.0,140.0,99029304.59016705,0.0
45.0,163.0,136.0,98999099.59016705,0.0
2.0,0.0,160.0,100402651.59016705,0.0
0.0,0.0,124.0,100360480.59016705,0.0
0.0,0.0,6.0,100355896.59016705,0.0
0.0,0.0,60624.0,100354302.59016705,0.0
10.0,1.0,132.0,100362989.59016705,0.0
0.0,0.0,188.0,100310102.59016705,0.0
1.0,2.0,116.0,99087746.59016705,0.0
0.0,0.0,144.0,99090509.59016705,0.0
1.0,0.0,0.0,99037867.59016705,0.0
0.0,0.0,1018.0,99039651.59016705,0.0
0.0,0.0,140.0,99003331.59016705,0.0
10.0,24.0,116.0,99243856.59016705,0.0
0.0,0.0,81575.0,99066419.59016705,0.0
0.0,1.0,136.0,99020047.59016705,0.0
0.0,0.0,136.0,99200000.59016705,0.0
10.0,10.0,148.0,99101367.59016705,0.0
0.0,0.0,170.0,99101190.59016705,0.0
8.0,4.0,11.0,99103660.59016705,0.0
0.0,0.0,6.0,99012896.59016705,0.0
0.0,0.0,164.0,99013407.59016705,0.0
5.0,0.0,22.0,99111882.59016705,0.0
0.0,0.0,108.0,99048804.59016705,0.0
0.0,1.0,1950.0,99050179.59016705,0.0
0.0,0.0,371136.0,97583160.59016705,0.0
0.0,0.0,168.0,97560914.59016705,0.0
1.0,2.0,152.0,97556882.59016705,0.0
13.0,11.0,1244.0,97338913.59016705,0.0
15.0,2.0,148.0,97249052.59016705,0.0
2.0,0.0,144.0,97573805.59016705,0.0
0.0,0.0,97.0,97571636.59016705,0.0
0.0,3.0,368.0,97456434.59016705,0.0
7.0,6.0,108.0,97355037.59016705,0.0
32.0,17.0,3.0,97263630.59016705,0.0
5.0,0.0,4.0,97645522.59016705,0.0
9.0,9.0,479.0,97641497.59016705,0.0
0.0,0.0,89.0,97640121.59016705,0.0
13.0,14.0,7.0,97638470.59016705,0.0
20.0,5.0,152.0,97630667.59016705,0.0
2.0,10.0,200.0,97625213.59016705,0.0
1.0,4.0,3.0,97632531.59016705,0.0
3.0,0.0,156.0,97616577.59016705,0.0
1.0,0.0,144.0,97616447.59016705,0.0
2.0,2.0,139.0,97616880.59016705,0.0
305.0,115.0,108.0,97497222.59016705,0.0
0.0,0.0,152.0,97495143.59016705,0.0
5.0,1.0,268.0,97380615.59016705,0.0
24.0,46.0,2.0,97382183.59016705,0.0
1.0,6.0,140.0,97294087.59016705,0.0
3.0,4.0,12.0,97293946.59016705,0.0
2.0,7.0,25.0,97293941.59016705,0.0
5.0,6.0,0.0,97295170.59016705,0.0
5.0,1.0,7.0,97231705.59016705,0.0
23.0,27.0,5.0,97234917.59016705,0.0
0.0,0.0,140.0,97544702.59016705,0.0
22.0,0.0,129.0,97536514.59016705,0.0
50.0,5.0,124.0,97454099.59016705,0.0
17.0,10.0,224.0,97300463.59016705,0.0
1.0,0.0,34.0,97582136.59016705,0.0
12.0,4.0,108.0,97562429.59016705,0.0
0.0,0.0,5.0,97483360.59016705,0.0
0.0,0.0,7105.0,97414243.59016705,0.0
0.0,1.0,124.0,97322996.59016705,0.0
25.0,14.0,6.0,97585201.59016705,0.0
0.0,0.0,223633.0,97439672.59016705,0.0
3.0,0.0,12.0,97436258.59016705,0.0
0.0,0.0,140.0,97364328.59016705,0.0
5.0,6.0,120.0,97366016.59016705,0.0
1.0,1.0,140.0,97314580.59016705,0.0
0.0,0.0,120.0,97289415.59016705,0.0
18.0,18.0,108.0,97227525.59016705,0.0
3.0,4.0,13888.0,97514223.59016705,0.0
3.0,0.0,1.0,97512241.59016705,0.0
1.0,1.0,108.0,97519720.59016705,0.0
33.0,2.0,254.0,97388693.59016705,0.0
32.0,4.0,160.0,97395894.59016705,0.0
2.0,3.0,152.0,97286664.59016705,0.0
13.0,0.0,1.0,97568986.59016705,0.0
4.0,0.0,136.0,97550346.59016705,0.0
6.0,3.0,5.0,97385753.59016705,0.0
0.0,0.0,140.0,97272035.59016705,0.0
16.0,13.0,140.0,97580785.59016705,0.0
10.0,0.0,144.0,97330788.59016705,0.0
18.0,17.0,120.0,97336776.59016705,0.0
39.0,3.0,140.0,97328058.59016705,0.0
10.0,26.0,1101.0,97331942.59016705,0.0
0.0,0.0,184.0,100438930.59016705,0.0
4.0,4.0,148.0,100445707.59016705,0.0
5.0,1.0,4.0,100397394.59016705,0.0
0.0,0.0,128.0,100341621.59016705,0.0
0.0,0.0,172.0,100343798.59016705,0.0
0.0,0.0,164.0,100320433.59016705,0.0
0.0,0.0,136.0,100321677.59016705,0.0
7.0,5.0,95.0,100318627.59016705,0.0
0.0,0.0,1712.0,100469579.59016705,0.0
5.0,15.0,144.0,100412806.59016705,0.0
0.0,4.0,148.0,100346301.59016705,0.0
0.0,0.0,124.0,100347286.59016705,0.0
2.0,1.0,168.0,100083930.59016705,0.0
0.0,0.0,25.0,99984710.59016705,0.0
58.0,42.0,140.0,100461757.59016705,0.0
0.0,0.0,124.0,100429969.59016705,0.0
5.0,0.0,1384.0,100282302.59016705,0.0
0.0,0.0,144.0,100209848.59016705,0.0
10.0,18.0,34628.0,100031912.59016705,0.0
21.0,5.0,10.0,100158916.59016705,0.0
2.0,1.0,5.0,100159438.59016705,0.0
22.0,73.0,252.0,100158563.59016705,0.0
0.0,0.0,42.0,100157822.59016705,0.0
8.0,16.0,216.0,100145688.59016705,0.0
0.0,0.0,5.0,100054586.59016705,0.0
21.0,16.0,26.0,100051245.59016705,0.0
3.0,2.0,108.0,99981770.59016705,0.0
32.0,14.0,108.0,99980305.59016705,0.0
13.0,3.0,19.0,100275914.59016705,0.0
0.0,0.0,160.0,100283454.59016705,0.0
0.0,0.0,156.0,100258628.59016705,0.0
0.0,0.0,493.0,100291016.59016705,0.0
31.0,8.0,126.0,100301260.59016705,0.0
0.0,0.0,140.0,100139754.59016705,0.0
40.0,28.0,124.0,100141211.59016705,0.0
11.0,0.0,132.0,100140860.59016705,0.0
25.0,0.0,168.0,100048532.59016705,0.0
1.0,3.0,148.0,100124833.59016705,0.0
0.0,0.0,180.0,100132823.59016705,0.0
0.0,0.0,148.0,100219755.59016705,0.0
0.0,0.0,45.0,100017938.59016705,0.0
39.0,18.0,124.0,100024441.59016705,0.0
0.0,0.0,108.0,97106308.59016705,0.0
2.0,0.0,24.0,96955979.59016705,0.0
19.0,20.0,33.0,96948310.59016705,0.0
24.0,33.0,33.0,96949870.59016705,0.0
0.0,0.0,1966.0,96948034.59016705,0.0
0.0,0.0,96.0,97215672.59016705,0.0
10.0,1.0,116.0,104359666.59016705,1.0
26.0,0.0,32.0,102147180.59016705,1.0
5.0,0.0,781.0,47008295.590167046,1.0
0.0,0.0,15.0,101793869.59016705,1.0
16.0,6.0,148.0,101690310.59016705,1.0
1.0,0.0,188.0,101636429.59016705,1.0
299.0,453.0,176.0,101637633.59016705,1.0
3.0,3.0,9.0,101618521.59016705,1.0
3.0,0.0,51575.0,101500458.59016705,1.0
3.0,2.0,16.0,96230296.59016705,1.0
3.0,3.0,618.0,96122390.59016705,1.0
45.0,60.0,30.0,97701804.59016705,1.0
2.0,0.0,51.0,97663725.59016705,1.0
1.0,4.0,1.0,98381355.59016705,1.0
1.0,0.0,2.0,96023339.59016705,1.0
7.0,7.0,1804.0,99428972.59016705,1.0
481.0,90.0,18.0,99350289.59016705,1.0
32.0,28.0,880.0,100401764.59016705,1.0
4.0,7.0,144.0,99097559.59016705,1.0
9.0,2.0,28.0,97471235.59016705,1.0
0.0,0.0,2.0,97308012.59016705,1.0
24.0,20.0,128.0,97273749.59016705,1.0
59.0,21.0,10.0,97436259.59016705,1.0
27.0,7.0,44.0,97289807.59016705,1.0
9.0,11.0,108.0,97289410.59016705,1.0
16.0,10.0,156.0,100397423.59016705,1.0
1.0,2.0,192.0,100463988.59016705,1.0
19.0,14.0,140.0,100246928.59016705,1.0
0.0,0.0,1984.0,100193886.59016705,1.0
52.0,24.0,5.0,100089502.59016705,1.0
0.0,0.0,3202.0,99980880.59016705,1.0
0.0,0.0,8.0,100261044.59016705,1.0
0.0,0.0,15.0,100078844.59016705,1.0
1.0,2.0,476.0,100277692.59016705,1.0
0.0,0.0,6.0,100170512.59016705,1.0
61.0,3.0,124.0,100012764.59016705,1.0
1.0,0.0,148.0,97189474.59016705,1.0
15.0,0.0,0.0,97049991.59016705,1.0
6.0,1.0,196.0,101943502.59016705,2.0
3.0,3.0,7539.0,96002625.59016705,2.0
49.0,0.0,9.0,99043124.59016705,2.0
0.0,0.0,128.0,97638615.59016705,2.0
0.0,0.0,152.0,97627133.59016705,2.0
0.0,0.0,18.0,97234300.59016705,2.0
0.0,0.0,9.0,97389157.59016705,2.0
13.0,6.0,144.0,100373986.59016705,2.0
12.0,12.0,9.0,100325831.59016705,2.0
55.0,7.0,4.0,96985141.59016705,2.0
0.0,0.0,5.0,96523901.59016705,2.0
51.0,17.0,1.0,96789391.59016705,2.0
929.0,0.0,0.0,96407024.59016705,2.0
0.0,0.0,20.0,96353496.59016705,2.0
7.0,0.0,43.0,96369744.59016705,2.0
55.0,7.0,108.0,97184690.59016705,2.0
52.0,0.0,26.0,97176953.59016705,2.0
16.0,4.0,412.0,121655355.59016705,2.0
0.0,0.0,9.0,121496287.59016705,2.0
25.0,13.0,596.0,121443039.59016705,2.0
6.0,12.0,134.0,121246229.59016705,2.0
0.0,0.0,312.0,121300260.59016705,2.0
0.0,0.0,140.0,126929520.59016705,2.0
4.0,7.0,98.0,126920676.59016705,2.0
23.0,31.0,172.0,127004649.59016705,2.0
3.0,0.0,1812.0,121221339.59016705,2.0
0.0,0.0,11.0,121205927.59016705,2.0
4.0,0.0,336.0,120864614.59016705,2.0
11.0,17.0,120.0,121125220.59016705,2.0
24.0,23.0,188.0,121227667.59016705,2.0
1.0,0.0,104.0,120984740.59016705,2.0
16.0,5.0,1408.0,131683559.59016705,2.0
12.0,2.0,214.0,132026760.59016705,2.0
157.0,129.0,432.0,131518202.59016705,2.0
119.0,91.0,243.0,131754230.59016705,2.0
21.0,14.0,132.0,131954887.59016705,2.0
2.0,0.0,21.0,127530352.59016705,2.0
8.0,23.0,132.0,127435032.59016705,2.0
14.0,8.0,108.0,125151882.59016705,2.0
0.0,0.0,196.0,120279545.59016705,2.0
54.0,35.0,1188.0,120176729.59016705,2.0
6.0,1.0,13.0,120735398.59016705,2.0
0.0,0.0,143.0,120540170.59016705,2.0
17.0,0.0,17.0,120270928.59016705,2.0
16.0,9.0,156.0,119914269.59016705,2.0
22.0,26.0,35.0,119375454.59016705,2.0
1.0,0.0,120.0,119329169.59016705,2.0
6.0,0.0,10.0,119137509.59016705,2.0
30.0,1.0,4.0,119672499.59016705,2.0
81.0,16.0,416.0,118861179.59016705,2.0
3.0,4.0,704.0,118723675.59016705,2.0
5.0,1.0,170.0,102538315.59016705,2.0
