Followers,Following,Bytes of Code,Seconds Since Creation,Stars
1.0,0.0,156.0,104362480.09858441,0.0
0.0,1.0,30912.0,104339823.09858441,0.0
34.0,0.0,700.0,101529362.09858441,0.0
21.0,32.0,3748.0,102310962.09858441,0.0
3.0,0.0,244.0,102151334.09858441,0.0
0.0,0.0,180.0,102148023.09858441,0.0
6.0,29.0,120.0,102062649.09858441,0.0
1.0,0.0,164.0,102878506.09858441,0.0
0.0,0.0,128.0,102748650.09858441,0.0
0.0,0.0,124.0,102746508.09858441,0.0
226.0,45.0,636.0,102721841.09858441,0.0
2.0,0.0,6016.0,102707962.09858441,0.0
12.0,9.0,168.0,102713694.09858441,0.0
0.0,0.0,148.0,101888238.09858441,0.0
1.0,6.0,160.0,101828738.09858441,0.0
0.0,1.0,12024.0,101921023.09858441,0.0
2.0,2.0,144.0,101920991.09858441,0.0
4.0,4.0,176.0,101883254.09858441,0.0
1.0,4.0,280.0,101550630.09858441,0.0
1.0,4.0,1225.0,101550378.09858441,0.0
78.0,196.0,124.0,101498980.09858441,0.0
0.0,0.0,22788.0,101496800.09858441,0.0
5.0,1.0,124.0,101494212.09858441,0.0
11.0,88.0,116.0,101438498.09858441,0.0
3.0,2.0,220.0,101392218.09858441,0.0
10.0,14.0,108.0,101788945.09858441,0.0
0.0,0.0,168.0,101793230.09858441,0.0
2.0,0.0,116.0,101778474.09858441,0.0
25.0,22.0,160.0,101760795.09858441,0.0
65.0,158.0,416.0,101696223.09858441,0.0
0.0,0.0,492.0,101644660.09858441,0.0
2.0,0.0,896.0,101635908.09858441,0.0
3.0,4.0,14.0,101633175.09858441,0.0
6.0,4.0,4276.0,101490499.09858441,0.0
0.0,3.0,264.0,101485572.09858441,0.0
6.0,1.0,136.0,101483221.09858441,0.0
6.0,7.0,114.0,101458579.09858441,0.0
1.0,10.0,148.0,101410272.09858441,0.0
1.0,0.0,176.0,101416879.09858441,0.0
1.0,0.0,780.0,101545108.09858441,0.0
8.0,22.0,187.0,101425922.09858441,0.0
0.0,1.0,124.0,101510633.09858441,0.0
0.0,0.0,148.0,101510460.09858441,0.0
4.0,4.0,140.0,101431635.09858441,0.0
7.0,24.0,2994.0,96263833.09858441,0.0
3.0,3.0,16.0,96236248.09858441,0.0
2.0,0.0,0.0,96227689.09858441,0.0
1.0,2.0,0.0,96237834.09858441,0.0
5.0,10.0,0.0,96223694.09858441,0.0
0.0,0.0,0.0,96221133.09858441,0.0
0.0,0.0,42010.0,96220693.09858441,0.0
1.0,0.0,31373.0,96179784.09858441,0.0
6.0,5.0,0.0,96170144.09858441,0.0
18.0,9.0,25.0,96168576.09858441,0.0
11.0,22.0,25.0,96081333.09858441,0.0
8.0,6.0,252.0,97703159.09858441,0.0
24.0,34.0,377.0,97711842.09858441,0.0
18.0,54.0,1164.0,97701596.09858441,0.0
3.0,2.0,112.0,97673982.09858441,0.0
6.0,14.0,17.0,97669957.09858441,0.0
0.0,0.0,284.0,97670464.09858441,0.0
9.0,2.0,240.0,97662594.09858441,0.0
1.0,0.0,148.0,98549737.09858441,0.0
2.0,0.0,148.0,98600744.09858441,0.0
3.0,4.0,128.0,98600209.09858441,0.0
4.0,0.0,152.0,98597476.09858441,0.0
0.0,0.0,200.0,98630480.09858441,0.0
5.0,4.0,133.0,98621050.09858441,0.0
15.0,15.0,212.0,98388581.09858441,0.0
2.0,0.0,46.0,96070806.09858441,0.0
1.0,0.0,15.0,96073938.09858441,0.0
0.0,0.0,14.0,96075701.09858441,0.0
0.0,0.0,47.0,96052255.09858441,0.0
0.0,1.0,537.0,96052237.09858441,0.0
5.0,5.0,218.0,96052732.09858441,0.0
35.0,41.0,13.0,95978633.09858441,0.0
2.0,2.0,1276.0,97831982.09858441,0.0
0.0,0.0,53.0,97800475.09858441,0.0
2.0,1.0,440.0,97801831.09858441,0.0
0.0,0.0,1577.0,97799201.09858441,0.0
14.0,37.0,144.0,97799838.09858441,0.0
0.0,0.0,148.0,97802648.09858441,0.0
7.0,8.0,214.0,97758671.09858441,0.0
0.0,0.0,172.0,97753198.09858441,0.0
7.0,12.0,2145.0,96026031.09858441,0.0
0.0,0.0,160.0,95999985.09858441,0.0
10.0,26.0,15.0,96003038.09858441,0.0
3.0,2.0,2514.0,95994315.09858441,0.0
2.0,1.0,14875.0,95977214.09858441,0.0
1.0,0.0,153.0,95971406.09858441,0.0
