Followers,Following,Bytes of Code,Seconds Since Creation,Stars
34.0,37.0,168.0,104359397.59016705,0.0
34.0,37.0,148.0,104348228.59016705,0.0
46.0,3.0,157.0,101453097.59016705,0.0
5.0,0.0,176.0,98625081.59016705,0.0
0.0,0.0,45235.0,21533672.590167046,0.0
76.0,9.0,1467.0,98594077.59016705,0.0
0.0,0.0,296.0,100533841.59016705,0.0
13.0,1.0,96.0,99129169.59016705,0.0
20.0,0.0,8.0,99113246.59016705,0.0
2.0,0.0,507.0,97461843.59016705,0.0
0.0,0.0,72.0,97635580.59016705,0.0
46.0,24.0,1024.0,97554579.59016705,0.0
0.0,0.0,172.0,97429297.59016705,0.0
0.0,0.0,6.0,97444984.59016705,0.0
7.0,13.0,152.0,97550915.59016705,0.0
0.0,0.0,5.0,97321292.59016705,0.0
0.0,0.0,356.0,100468040.59016705,0.0
32.0,75.0,140.0,100129227.59016705,0.0
0.0,1.0,2108.0,21594739.590167046,0.0
4.0,1.0,64.0,96606500.59016705,0.0
28.0,96.0,0.0,96918637.59016705,0.0
2.0,1.0,167.0,96824838.59016705,0.0
227.0,352.0,0.0,96698978.59016705,0.0
10.0,2.0,146.0,96842162.59016705,0.0
0.0,0.0,38.0,97048411.59016705,0.0
5.0,7.0,74.0,21532406.590167046,0.0
8.0,2.0,124.0,97122774.59016705,0.0
6.0,0.0,720.0,121535607.59016705,0.0
0.0,0.0,145.0,126878284.59016705,0.0
8.0,4.0,162.0,127005353.59016705,0.0
5.0,7.0,104.0,127151096.59016705,0.0
0.0,0.0,282.0,126987622.59016705,0.0
1.0,2.0,152.0,131551932.59016705,0.0
1.0,1.0,2960.0,131959404.59016705,0.0
0.0,0.0,2720.0,127347952.59016705,0.0
1.0,0.0,280.0,125219558.59016705,0.0
2.0,1.0,31.0,120610429.59016705,0.0
3.0,0.0,399.0,21973155.590167046,0.0
44.0,10.0,1300.0,119366996.59016705,0.0
450.0,45.0,180.0,119689193.59016705,0.0
12.0,25.0,180.0,102349888.59016705,0.0
0.0,0.0,208.0,102349758.59016705,0.0
0.0,0.0,118.0,101975044.59016705,0.0
15.0,6.0,7.0,102114314.59016705,0.0
20.0,0.0,224.0,102158076.59016705,0.0
13.0,71.0,5214.0,102017565.59016705,0.0
19.0,39.0,426.0,103938874.59016705,0.0
0.0,0.0,412.0,105511037.59016705,0.0
101.0,16.0,208.0,105718702.59016705,0.0
0.0,0.0,10780.0,105586333.59016705,0.0
1.0,1.0,700.0,105690166.59016705,0.0
206.0,0.0,132.0,109117234.59016705,0.0
1.0,0.0,30222.0,109110226.59016705,0.0
51.0,6.0,148.0,103409369.59016705,0.0
558.0,8.0,60.0,101360164.59016705,0.0
2.0,1.0,760.0,101017153.59016705,0.0
42.0,2.0,164.0,105254473.59016705,0.0
0.0,0.0,1395.0,105190339.59016705,0.0
4.0,5.0,5623.0,28829604.590167046,0.0
2.0,0.0,200.0,101817655.59016705,0.0
38.0,19.0,71.0,21535228.590167046,0.0
5.0,10.0,415.0,93589529.59016705,0.0
1.0,1.0,721.0,93652893.59016705,0.0
26.0,11.0,71.0,94508574.59016705,0.0
36.0,3.0,25.0,94592033.59016705,0.0
0.0,2.0,766.0,93121558.59016705,0.0
18.0,4.0,5.0,93173642.59016705,0.0
33.0,11.0,9.0,93052607.59016705,0.0
10.0,6.0,17.0,93317552.59016705,0.0
4.0,0.0,54.0,93252474.59016705,0.0
0.0,0.0,64.0,92984722.59016705,0.0
1.0,2.0,3344.0,90619976.59016705,0.0
1.0,0.0,105.0,90514744.59016705,0.0
0.0,0.0,10.0,90629489.59016705,0.0
20.0,6.0,216.0,21588643.590167046,0.0
12.0,0.0,17.0,90891199.59016705,0.0
16.0,43.0,35.0,90842973.59016705,0.0
0.0,0.0,997.0,92322743.59016705,0.0
0.0,0.0,136.0,92314112.59016705,0.0
0.0,0.0,34.0,92318198.59016705,0.0
2.0,1.0,18.0,92447895.59016705,0.0
94.0,13.0,53.0,92375479.59016705,0.0
81.0,14.0,2.0,92425584.59016705,0.0
1.0,0.0,16.0,90365481.59016705,0.0
0.0,0.0,61.0,90280949.59016705,0.0
2.0,10.0,5.0,90196766.59016705,0.0
102.0,16.0,307.0,90098649.59016705,0.0
28.0,1.0,909.0,90045098.59016705,0.0
5.0,3.0,120.0,99746436.59016705,0.0
3.0,3.0,160.0,99626481.59016705,0.0
2.0,1.0,1192.0,98674906.59016705,0.0
4.0,5.0,3547.0,23134756.590167046,0.0
17.0,11.0,3769.0,98692159.59016705,0.0
4.0,11.0,137.0,98919121.59016705,0.0
0.0,0.0,1944.0,22727318.590167046,0.0
4.0,1.0,3698.0,98653730.59016705,0.0
15.0,0.0,144.0,98053110.59016705,0.0
6.0,0.0,148.0,98064834.59016705,0.0
68.0,13.0,128.0,98042969.59016705,0.0
0.0,0.0,1348.0,21532860.590167046,0.0
